Country,Year,Disease_Category,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Age_Group,Gender,Population_Affected,Healthcare_Access,Doctors_Per_1000,Hospital_Beds_Per_1000,Treatment_Type,Avg_Treatment_Cost_USD,Availability_of_Vaccines_Treatment,Recovery_Rate,DALYs,Improvement_in_5_Years,Per_Capita_Income_USD,Education_Index,Urbanization_Rate
Japan,2022,Respiratory,Tuberculosis,9.089043508119058,4.536102016679607,4.165441050778316,19-35,Other,170978,82.62991231328057,8.559668562355226,6.563867777402857,Medication,35990.90911725472,No,96.06000140284833,1628.4566685285492,-4.825149021916159,15830.795901974067,0.7860968371638342,49.89636917555204
Germany,2019,Cardiovascular,Heart Disease,10.066611573717404,9.735740087053728,5.960869129753037,51-65,Male,864616,48.54487941696549,5.412880340540958,10.415891612490707,Vaccination,46376.039027103834,Yes,56.03378088522859,7604.4931590833885,-1.4510565855092956,73975.98981992906,0.5526758131513854,79.31873669812916
Russia,2013,Cardiovascular,Hypertension,9.85986797643584,9.90480335921237,5.495208601824834,51-65,Male,170819,65.8782038718619,8.29076978508921,1.7730786155215157,Surgery,40618.882024495644,No,96.62817960594359,5853.265458422002,2.79742168076159,14762.244217296564,0.6134870900000788,52.72597352622379
Canada,2018,Infectious,Hepatitis,6.743159549560894,6.536763447014018,6.814300337227889,36-50,Female,278882,72.03180003455645,3.673587228959935,9.125933888590724,Therapy,46540.17242162087,No,88.12832249274891,2192.27319073588,-0.25114433867356567,31975.508859410944,0.33156720350445684,56.56314950896848
China,2015,Infectious,Influenza,5.26401201934911,1.3584809893847805,1.8042155746783148,36-50,Female,866507,81.42541773252199,8.756487741542038,6.73882585290094,Surgery,13370.144625307443,No,90.57277842507949,8653.9470148557,2.237839995791731,52414.362492926346,0.8300940405268824,74.71539396642015
Russia,2017,Chronic,Cancer,12.55526868811442,5.111083847986505,6.055227467374923,65+,Female,273501,73.73704556424306,8.477384363887147,1.8939364877063007,Vaccination,6013.797247246728,No,58.46760348979448,6228.718922158062,8.601049556553804,35605.72351476479,0.38422245573227265,81.23659101979271
Italy,2016,Respiratory,Pneumonia,11.400844759297978,5.338714699461058,7.062706398415421,65+,Other,223193,66.98275831404194,4.435042848946228,11.169475694728689,Vaccination,26764.04255292674,Yes,82.81270726077499,436.98927122135365,-4.472972511975169,40809.5349797731,0.46571775464837517,80.1839283569087
Japan,2020,Cardiovascular,Stroke,4.886702083867296,5.193019638539566,1.4549276015439179,19-35,Other,252146,85.16731132805022,4.705282555625997,8.018667496599935,Combined,2317.0781996162486,Yes,90.03653541352637,2045.5171982876157,-3.3929627124169204,65196.63401997539,0.4904777850720704,44.573214400454134
Brazil,2011,Respiratory,Bronchitis,1.6349859971888707,5.737969201348096,2.83973753632523,65+,Male,737490,62.305400080122574,4.158031595063261,5.24816243731064,Therapy,33762.029469170666,No,77.34374146246869,8921.82552320677,16.3934833798903,79942.58603773866,0.36954044052420076,81.5017405024481
France,2012,Neurological,Parkinson's,1.1699324271374911,0.28537466656446764,7.763803938219335,51-65,Male,432271,98.24318976854474,1.3134031589264943,2.1805891499211487,Medication,12076.076010951168,No,77.00266068731527,3872.3510084753357,8.057993434915765,40041.333646151186,0.8530520613116499,76.44989893653049
Japan,2010,Cardiovascular,Stroke,1.5047120706941473,7.141150086557974,6.26822398324036,65+,Female,44779,95.91916798503087,7.188945321049565,8.664638876559177,Vaccination,22772.06941156527,No,57.81125348854187,9845.080698703046,18.388277735572608,33412.023583081565,0.88202019594673,73.28027869396001
Canada,2018,Respiratory,Pneumonia,8.784753481761438,7.152703589334581,2.332467577046506,0-18,Male,180105,81.73544387129853,3.454592943290348,5.283477474386033,Combined,32812.53584291197,Yes,70.29739248057474,5344.547640913297,-4.918109766052321,35507.2179029796,0.8191181048160872,93.17808388483161
Canada,2022,Chronic,Diabetes,0.8697664198519464,1.2431507742610906,4.555139980191447,0-18,Other,846504,92.07410352790541,8.956123681262556,14.253579239576164,Combined,24206.455638236166,No,57.376458046205045,2158.359954532503,-4.996220242481779,32683.14255069317,0.5078189836527498,59.0754119731812
China,2016,Chronic,Diabetes,5.120210436964172,5.745370480213427,3.2941763705108826,36-50,Male,632479,63.197355448151576,9.076394328593734,9.28122652938488,Medication,11879.496822270656,Yes,97.67003017680318,5979.556142579887,13.489915114834009,40532.85284260587,0.333142166396962,77.56974194221372
Italy,2010,Cardiovascular,Heart Disease,11.322675558522018,5.726775706114169,3.970724892984326,36-50,Male,529905,74.30674305068072,7.503212855096307,4.990911516935482,Surgery,44030.48894780488,No,83.55765042289254,1113.274291285395,6.906318012118808,29983.111685375672,0.4097348819438704,71.52786512034335
Germany,2012,Neurological,Parkinson's,4.485787681079134,6.856259159884961,2.9058129119865974,19-35,Male,970040,56.08665467782464,2.6340759007072325,8.400652695645269,Therapy,38250.31251989836,No,52.37267436081234,8094.395703250637,17.844958659800202,39696.24009258122,0.7632599486384306,61.33779625863205
China,2013,Chronic,Diabetes,11.473290349983934,0.9454371521373027,2.306715046389691,0-18,Male,391470,92.25271889951249,1.80363243216425,8.552935445699235,Medication,30093.517429115665,No,73.36162775725568,6315.618070102713,14.664598980784938,75909.28858802395,0.4715845403846035,83.35317873453387
China,2013,Chronic,Arthritis,11.207458869285123,6.302382741934354,5.430628026992208,19-35,Male,305486,67.79047725350328,8.34801935911645,11.174662451595417,Medication,34957.15915405912,No,81.26024335166294,9643.071535970017,7.59906657911683,26465.991664897774,0.8355631610873047,62.17312526932929
France,2014,Neurological,Parkinson's,3.762824276234923,2.879444312388778,6.250480339180329,19-35,Female,535975,71.63247310090051,9.037594979757493,13.630832524335423,Surgery,20824.762291634157,Yes,54.686378660738484,6932.067127855716,6.9631000467933095,53890.60402503432,0.8010779014308074,70.7205635200634
Spain,2023,Respiratory,Tuberculosis,10.959450483381907,5.119329605912102,7.004261269704024,65+,Female,925300,91.00948041180921,4.16835212260461,14.476310701725161,Surgery,18857.015611275998,Yes,82.58444019116402,586.5885210883584,15.27951065864292,41520.01802361244,0.44216716187274396,70.8344973645481
Italy,2012,Chronic,Cancer,11.2418719102543,7.75590317177036,1.3271067418136857,36-50,Other,709117,87.03943196724066,4.176603403534963,11.050470783578914,Vaccination,8089.567628852044,No,58.68795704523427,4816.639581298819,15.092659308047637,59929.72641963687,0.7160727350947489,68.12302032737907
UK,2012,Infectious,Influenza,6.0220634924387,7.085894769993832,6.600558636797401,19-35,Female,584479,58.98284870276042,4.512483166316805,8.642785372537674,Surgery,40199.215223741936,No,69.98609083815043,5359.971399654798,1.923620243031003,40421.90435205179,0.5653768088903992,65.15712205598625
China,2010,Chronic,Cancer,3.235265207748622,1.2771398750121346,2.112926513368802,19-35,Male,40801,45.15822860992103,8.448600760898017,4.149049210620435,Surgery,19114.107834542585,Yes,80.65214870831346,9176.082061539535,11.865921495705045,17040.674329422538,0.4289682859609101,49.227851205798295
